reporting_period,Syndicate_Number,Scenario,Gross_Loss,RI_Recovery,Net_Loss,Liquidity_Impact
2025-11-30,2987,Base,116982628,62396975,55067902,36495854
2025-11-30,2987,Adverse,238629148,141928839,131221100,91908676
2025-11-30,2987,1-in-200,283871730,162636114,168972151,102805380
2025-11-30,33,Base,160674438,65066282,87939191,42809630
2025-11-30,33,Adverse,240777615,134943098,137920501,87197580
2025-11-30,33,1-in-200,304050280,131300941,164264877,84072439
2025-11-30,1183,Base,60395056,34528979,26844801,21942569
2025-11-30,1183,Adverse,260342563,122343219,146861134,97437007
2025-11-30,1183,1-in-200,274601462,111140242,120447329,72948534
2025-11-30,2791,Base,68634991,40726481,31285544,22532616
2025-11-30,2791,Adverse,235931773,126436692,134182004,62812109
2025-11-30,2791,1-in-200,143522407,60719788,85263809,33830178
2025-11-30,623,Base,121260584,49432051,62972349,32635761
2025-11-30,623,Adverse,201303169,98090762,120147227,44916606
2025-11-30,623,1-in-200,252559705,113890410,136826002,50597370
2025-11-30,4242,Base,194539606,104540026,114399525,67584525
2025-11-30,4242,Adverse,154336822,72977285,63894636,51370631
2025-11-30,4242,1-in-200,346593490,181833717,184622552,77957562
2025-11-30,5000,Base,130617145,65494636,69668387,34644444
2025-11-30,5000,Adverse,194046507,99134963,85063782,64614748
2025-11-30,5000,1-in-200,379440087,203176351,220288158,122598224
2025-11-30,1910,Base,130785617,62936005,74122098,34105617
2025-11-30,1910,Adverse,159630726,77576961,82368968,52828372
2025-11-30,1910,1-in-200,437048290,213435680,233875661,132091202
2025-11-30,2010,Base,95551186,50811268,43643699,31796641
2025-11-30,2010,Adverse,209964619,87907449,123963097,51855743
2025-11-30,2010,1-in-200,333318975,148302989,146602347,68292084
2025-11-30,2525,Base,115724419,69062852,60437632,40931480
2025-11-30,2525,Adverse,258374769,124766127,135893004,61722385
2025-11-30,2525,1-in-200,382683587,190911440,171747203,126749244
