Syndicate_Number,LOB_Code,Net_Earned_Premium,Claims_Incurred,Technical_Result
2987,A1,75319931,39991822,2938407
2987,A2,17849494,10992362,2010898
2987,D1,52091325,26641225,6524609
2987,D2,77491435,52994643,8472746
2987,E1,17634247,12205645,-457900
33,A1,34941004,17949342,-1034663
33,A2,41568532,24141137,9663804
33,D1,43046464,26507315,-1639101
33,D2,21003626,12262861,2627589
33,E1,52462441,36038614,591658
1183,A1,52169044,28574925,3585878
1183,A2,50264926,29728934,11495865
1183,D1,19736572,9905057,2691037
1183,D2,23419256,12052770,326611
1183,E1,45594597,24005159,2494145
2791,A1,19233013,12998709,1170485
2791,A2,31172421,18318065,3521404
2791,D1,50603163,31492147,12456976
2791,D2,11049999,7000977,1286006
2791,E1,23903144,16440247,-232163
623,A1,25492573,17282499,4403204
623,A2,30863865,17113076,4057022
623,D1,56020613,30291435,7858089
623,D2,45431319,27307939,1151064
623,E1,16818112,8719513,1296217
4242,A1,47135391,23983304,2359925
4242,A2,27558317,17290712,787797
4242,D1,69302158,42297607,5426780
4242,D2,11297845,5901709,2638219
4242,E1,30005727,18277030,6012502
5000,A1,29876811,17506536,-1118926
5000,A2,58942697,40069027,11130543
5000,D1,15354599,10437824,199962
5000,D2,43491314,27546819,2440018
5000,E1,64543049,44842406,11284918
1910,A1,41774346,28110840,10145393
1910,A2,33763566,22833733,-1437115
1910,D1,54585178,35833930,4012772
1910,D2,43308443,23965209,8064567
1910,E1,24508349,14129267,-940694
2010,A1,73174945,39842787,14267356
2010,A2,71780854,40910183,14080597
2010,D1,40547349,22081466,6001411
2010,D2,63481198,35908291,13286988
2010,E1,47463522,27065087,4880280
2525,A1,54446182,37450666,-838333
2525,A2,45059710,24139097,10758469
2525,D1,45630292,23164283,5885001
2525,D2,56397338,36416269,2487302
2525,E1,78642041,41139944,17289564
