Syndicate_Number,Linear_MCR,SCR_Based_MCR,Absolute_Floor_MCR,Combined_MCR,Final_MCR
2987,78515194,113973884,3700000,78515194,78515194
33,71852331,74192925,3700000,71852331,71852331
1183,25053613,44762914,3700000,25053613,25053613
2791,110957254,111033524,3700000,110957254,110957254
623,28275041,48077330,3700000,28275041,28275041
4242,48187858,61748178,3700000,48187858,48187858
5000,50457760,52000217,3700000,50457760,50457760
1910,41932155,44309711,3700000,41932155,41932155
2010,55012159,80637377,3700000,55012159,55012159
2525,82359716,88930923,3700000,82359716,82359716
