Syndicate_Number,Origin_Year,Development_Year,Calendar_Year,Cumulative_Paid,Cumulative_Incurred
2987,2018,0,2018,4688776,6095410
2987,2018,1,2019,21607534,28089794
2987,2018,2,2020,17221833,22388383
2987,2018,3,2021,13423209,17450171
2987,2018,4,2022,22606448,29388383
2987,2018,5,2023,68513108,89067040
2987,2018,6,2024,12151148,15796492
2987,2019,0,2019,12290182,15977237
2987,2019,1,2020,3534875,4595337
2987,2019,2,2021,31014399,40318719
2987,2019,3,2022,40129458,52168296
2987,2019,4,2023,19181947,24936531
2987,2019,5,2024,29274127,38056365
2987,2020,0,2020,8846218,11500084
2987,2020,1,2021,6859794,8917732
2987,2020,2,2022,15256636,19833627
2987,2020,3,2023,7119142,9254885
2987,2020,4,2024,33995831,44194581
2987,2021,0,2021,4289682,5576586
2987,2021,1,2022,10663875,13863038
2987,2021,2,2023,8267803,10748144
2987,2021,3,2024,13764549,17893914
2987,2022,0,2022,6887308,8953501
2987,2022,1,2023,12617341,16402543
2987,2022,2,2024,29107995,37840393
2987,2023,0,2023,5511181,7164535
2987,2023,1,2024,6032875,7842738
33,2018,0,2018,8517306,11072498
33,2018,1,2019,22685586,29491261
33,2018,2,2020,38024933,49432413
33,2018,3,2021,25246570,32820541
33,2018,4,2022,45791896,59529465
33,2018,5,2023,57409033,74631743
33,2018,6,2024,59618706,77504318
33,2019,0,2019,11821139,15367481
33,2019,1,2020,17193418,22351443
33,2019,2,2021,14005407,18207029
33,2019,3,2022,22219136,28884877
33,2019,4,2023,20924966,27202456
33,2019,5,2024,27418894,35644562
33,2020,0,2020,7158943,9306626
33,2020,1,2021,16935534,22016195
33,2020,2,2022,9286008,12071811
33,2020,3,2023,45051330,58566729
33,2020,4,2024,55984006,72779208
33,2021,0,2021,7773037,10104948
33,2021,1,2022,8703067,11313987
33,2021,2,2023,14674247,19076521
33,2021,3,2024,38492593,50040371
33,2022,0,2022,10226937,13295018
33,2022,1,2023,18868214,24528679
33,2022,2,2024,26080493,33904641
33,2023,0,2023,13505704,17557415
33,2023,1,2024,12545133,16308673
1183,2018,0,2018,7917258,10292436
1183,2018,1,2019,25273537,32855598
1183,2018,2,2020,9530172,12389223
1183,2018,3,2021,46670019,60671025
1183,2018,4,2022,38689272,50296053
1183,2018,5,2023,50716059,65930876
1183,2018,6,2024,32021279,41627662
1183,2019,0,2019,12918077,16793500
1183,2019,1,2020,15489229,20135998
1183,2019,2,2021,23474929,30517407
1183,2019,3,2022,48408868,62931529
1183,2019,4,2023,11734172,15254423
1183,2019,5,2024,52738425,68559953
1183,2020,0,2020,4867168,6327318
1183,2020,1,2021,3923421,5100448
1183,2020,2,2022,30666928,39867006
1183,2020,3,2023,22422470,29149212
1183,2020,4,2024,55924001,72701201
1183,2021,0,2021,9750530,12675689
1183,2021,1,2022,13335125,17335662
1183,2021,2,2023,35510155,46163202
1183,2021,3,2024,49257627,64034915
1183,2022,0,2022,12180339,15834440
1183,2022,1,2023,15465233,20104803
1183,2022,2,2024,24749328,32174126
1183,2023,0,2023,2102770,2733602
1183,2023,1,2024,6854775,8911207
