Syndicate_Number,Return_Type,Reporting_Quarter,Reporting_Year,Status,Edition,Managing_Agent_Name,First_Pure_YoA,First_Reporting_YoA,Final_Pure_YoA,Prospective_Year,Contact_Username,Contact_Name,Contact_Phone,Contact_Email,Submission_Date,As_At_Date,Capacity_GBP
2987,RRA,N/A,2024,Approved,1.1,Managing Agent 2987,2018,2018,2023,2024,user2987,Contact Person 2987,+44 20 7114 1409,contact2987@lloyds.com,2025-11-21,2024-12-31,448116895
33,RRA,N/A,2024,Submitted,1.1,Managing Agent 33,2018,2018,2023,2024,user33,Contact Person 33,+44 20 7250 4657,contact33@lloyds.com,2025-11-21,2024-12-31,124913853
1183,RRA,N/A,2024,Approved,1.1,Managing Agent 1183,2018,2018,2023,2024,user1183,Contact Person 1183,+44 20 7104 9935,contact1183@lloyds.com,2025-11-21,2024-12-31,96674928
2791,RRA,N/A,2024,Approved,1.1,Managing Agent 2791,2018,2018,2023,2024,user2791,Contact Person 2791,+44 20 7432 1520,contact2791@lloyds.com,2025-11-21,2024-12-31,65997261
623,RRA,N/A,2024,Draft,1.1,Managing Agent 623,2018,2018,2023,2024,user623,Contact Person 623,+44 20 7223 4811,contact623@lloyds.com,2025-11-21,2024-12-31,321310554
4242,RRA,N/A,2024,Approved,1.1,Managing Agent 4242,2018,2018,2023,2024,user4242,Contact Person 4242,+44 20 7027 4257,contact4242@lloyds.com,2025-11-21,2024-12-31,434410102
5000,RRA,N/A,2024,Approved,1.1,Managing Agent 5000,2018,2018,2023,2024,user5000,Contact Person 5000,+44 20 7718 9928,contact5000@lloyds.com,2025-11-21,2024-12-31,275227988
1910,RRA,N/A,2024,Draft,1.1,Managing Agent 1910,2018,2018,2023,2024,user1910,Contact Person 1910,+44 20 7459 5557,contact1910@lloyds.com,2025-11-21,2024-12-31,484559665
2010,RRA,N/A,2024,Draft,1.1,Managing Agent 2010,2018,2018,2023,2024,user2010,Contact Person 2010,+44 20 7777 3615,contact2010@lloyds.com,2025-11-21,2024-12-31,424810735
2525,RRA,N/A,2024,Submitted,1.1,Managing Agent 2525,2018,2018,2023,2024,user2525,Contact Person 2525,+44 20 7348 5552,contact2525@lloyds.com,2025-11-21,2024-12-31,133472422
