Syndicate_Number,Return_Type,Reporting_Quarter,Reporting_Year,Status,Edition,Managing_Agent_Name,First_Pure_YoA,First_Reporting_YoA,Final_Pure_YoA,Prospective_Year,Contact_Username,Contact_Name,Contact_Phone,Contact_Email,Submission_Date,As_At_Date,Capacity_GBP
2987,RRQ,Q2,2024,Submitted,1.1,Managing Agent 2987,2022,2022,2024,N/A,user2987,Contact Person 2987,+44 20 7017 9228,contact2987@lloyds.com,2025-11-21,2024-06-30,486560456
33,RRQ,Q2,2024,Approved,1.1,Managing Agent 33,2022,2022,2024,N/A,user33,Contact Person 33,+44 20 7690 8054,contact33@lloyds.com,2025-11-21,2024-06-30,482807987
1183,RRQ,Q2,2024,Draft,1.1,Managing Agent 1183,2022,2022,2024,N/A,user1183,Contact Person 1183,+44 20 7109 2578,contact1183@lloyds.com,2025-11-21,2024-06-30,331527269
2791,RRQ,Q2,2024,Draft,1.1,Managing Agent 2791,2022,2022,2024,N/A,user2791,Contact Person 2791,+44 20 7246 4144,contact2791@lloyds.com,2025-11-21,2024-06-30,382742305
623,RRQ,Q2,2024,Approved,1.1,Managing Agent 623,2022,2022,2024,N/A,user623,Contact Person 623,+44 20 7258 6807,contact623@lloyds.com,2025-11-21,2024-06-30,193518875
4242,RRQ,Q2,2024,Submitted,1.1,Managing Agent 4242,2022,2022,2024,N/A,user4242,Contact Person 4242,+44 20 7080 7112,contact4242@lloyds.com,2025-11-21,2024-06-30,267984305
5000,RRQ,Q2,2024,Submitted,1.1,Managing Agent 5000,2022,2022,2024,N/A,user5000,Contact Person 5000,+44 20 7578 4984,contact5000@lloyds.com,2025-11-21,2024-06-30,424325896
1910,RRQ,Q2,2024,Draft,1.1,Managing Agent 1910,2022,2022,2024,N/A,user1910,Contact Person 1910,+44 20 7307 2320,contact1910@lloyds.com,2025-11-21,2024-06-30,400971691
2010,RRQ,Q2,2024,Approved,1.1,Managing Agent 2010,2022,2022,2024,N/A,user2010,Contact Person 2010,+44 20 7777 1519,contact2010@lloyds.com,2025-11-21,2024-06-30,100197700
2525,RRQ,Q2,2024,Submitted,1.1,Managing Agent 2525,2022,2022,2024,N/A,user2525,Contact Person 2525,+44 20 7388 7179,contact2525@lloyds.com,2025-11-21,2024-06-30,346729326
